genre_ids,id_x,original_language,original_title,popularity,vote_average,vote_count,title_clean,release_date,movie,production_budget,worldwide_gross,title,domestic_gross,foreign_gross
"[28, 878, 10770]",479475,en,Geo-Disaster,2.623,3.4,27,geo-disaster,2017-10-03,geo-disaster,0.0,0.0,geo-disaster,0.0,0.0
[53],436285,en,Serpent,2.622,5.6,14,serpent,2017-06-17,serpent,0.0,0.0,serpent,0.0,0.0
"[18, 10749]",88752,zh,當愛來的時候,2.621,7.3,10,when love comes,2011-03-11,when love comes,0.0,0.0,when love comes,0.0,0.0
"[10770, 99]",435412,en,The 44th President: In His Own Words,2.617,6.0,1,the 44th president: in his own words,2017-01-15,the 44th president: in his own words,0.0,0.0,the 44th president: in his own words,0.0,0.0
"[12, 10751, 9648]",389272,en,Lost & Found,2.614,5.3,35,lost & found,2016-02-22,lost & found,0.0,0.0,lost & found,0.0,0.0
"[10749, 35, 18]",466421,en,Amanda & Jack Go Glamping,2.604,4.5,11,amanda & jack go glamping,2017-11-10,amanda & jack go glamping,0.0,0.0,amanda & jack go glamping,0.0,0.0
[18],363056,en,Miles,2.602,5.3,7,miles,2017-06-09,miles,0.0,0.0,miles,0.0,0.0
"[18, 53, 9648, 10749, 80]",417809,en,Fatal Crossing,2.593,10.0,1,fatal crossing,2017-11-19,fatal crossing,0.0,0.0,fatal crossing,0.0,0.0
"[35, 27, 10749]",489428,en,An Accidental Zombie (Named Ted),2.593,4.0,4,an accidental zombie (named ted),2017-11-30,an accidental zombie (named ted),0.0,0.0,an accidental zombie (named ted),0.0,0.0
"[9648, 27, 18]",446867,en,One of Us,2.589,4.8,19,one of us,2017-03-14,one of us,0.0,0.0,one of us,0.0,0.0
"[9648, 80]",479630,en,Hailey Dean Mystery: Dating Is Murder,2.587,6.8,9,hailey dean mystery: dating is murder,2017-10-20,hailey dean mystery: dating is murder,0.0,0.0,hailey dean mystery: dating is murder,0.0,0.0
"[53, 18]",396777,en,Woodshock,2.587,4.8,24,woodshock,2017-09-22,woodshock,0.0,0.0,woodshock,0.0,0.0
"[10751, 35]",346034,es,3 Idiotas,2.584,6.8,25,3 idiotas,2017-06-02,3 idiotas,0.0,0.0,3 Idiotas,0.0,0.0
"[28, 80, 18, 53]",440345,en,Secrets of Deception,2.583,7.0,3,secrets of deception,2017-02-07,secrets of deception,0.0,0.0,secrets of deception,0.0,0.0
[35],450438,en,Permanent,2.577,5.6,24,permanent,2017-12-15,permanent,0.0,0.0,permanent,0.0,0.0
"[18, 36]",371859,fr,La mort de Louis XIV,2.57,6.7,28,the death of louis xiv,2017-03-31,the death of louis xiv,0.0,0.0,the death of louis xiv,0.0,0.0
[10751],467988,en,Camp Cool Kids,2.554,6.1,12,camp cool kids,2017-07-11,camp cool kids,0.0,0.0,camp cool kids,0.0,0.0
"[35, 27, 53, 9648]",434389,en,The Ice Cream Truck,2.552,4.3,19,the ice cream truck,2017-01-01,the ice cream truck,0.0,0.0,the ice cream truck,0.0,0.0
[18],427025,de,Axolotl Overkill,2.55,7.2,15,axolotl overkill,2017-01-20,axolotl overkill,0.0,0.0,axolotl overkill,0.0,0.0
"[10752, 10751, 36]",472553,en,Zoo,2.55,6.6,17,zoo,2018-06-08,zoo,0.0,0.0,zoo,0.0,0.0
"[35, 10749, 10770]",471608,en,"Eat, Play, Love",2.546,6.2,15,"eat, play, love",2017-08-19,"eat, play, love",0.0,0.0,"eat, play, love",0.0,0.0
"[53, 10749]",496230,en,Heartthrob,2.546,5.6,45,heartthrob,2017-10-10,heartthrob,0.0,0.0,heartthrob,0.0,0.0
[18],433602,fr,Even Lovers Get The Blues,2.544,7.9,7,even lovers get the blues,2017-04-02,even lovers get the blues,0.0,0.0,even lovers get the blues,0.0,0.0
[18],432226,ka,ჩემი ბედნიერი ოჯახი,2.537,7.2,22,my happy family,2017-01-22,my happy family,0.0,0.0,my happy family,0.0,0.0
"[35, 18]",338387,en,Youth in Oregon,2.534,6.3,19,youth in oregon,2017-02-03,youth in oregon,0.0,0.0,youth in oregon,0.0,0.0
"[28, 878, 53]",439123,en,Agent,2.531,6.2,6,agent,2017-02-03,agent,0.0,0.0,agent,0.0,0.0
"[18, 14, 27, 10749]",437583,et,November,2.519,7.6,38,november,2018-02-23,November,0.0,0.0,november,0.0,0.0
[99],469980,en,Diana: In Her Own Words,2.515,7.8,28,diana: in her own words,2017-08-14,diana: in her own words,0.0,0.0,diana: in her own words,0.0,0.0
[35],455601,en,Maria Bamford: Old Baby,2.514,5.5,11,maria bamford: old baby,2017-05-02,maria bamford: old baby,0.0,0.0,maria bamford: old baby,0.0,0.0
"[99, 36, 9648]",496169,en,Beyond the Spectrum,2.508,7.6,5,beyond the spectrum,2017-11-26,beyond the spectrum,0.0,0.0,beyond the spectrum,0.0,0.0
[35],474063,en,A Very Sordid Wedding,2.506,5.8,6,a very sordid wedding,2017-03-10,a very sordid wedding,0.0,0.0,a very sordid wedding,0.0,0.0
[18],402423,en,The Vessel,2.505,4.8,25,the vessel,2017-01-24,the vessel,0.0,0.0,the vessel,0.0,0.0
[99],468213,en,Human Flow,2.503,7.1,41,human flow,2017-10-13,human flow,0.0,0.0,Human Flow,0.0,1300000.0
"[27, 53]",517769,en,Central Park,2.502,4.3,4,central park,2017-06-06,central park,0.0,0.0,central park,0.0,0.0
[18],346699,en,Battlecreek,2.5,6.5,14,battlecreek,2017-11-03,battlecreek,0.0,0.0,battlecreek,0.0,0.0
[99],426546,en,Food Evolution,2.498,7.4,6,food evolution,2017-06-23,food evolution,0.0,0.0,food evolution,0.0,0.0
"[35, 18]",365372,en,Breakable You,2.498,4.6,8,breakable you,2017-01-07,breakable you,0.0,0.0,breakable you,0.0,0.0
"[18, 36]",452400,cn,明月幾時有,2.486,5.5,10,our time will come,2017-07-07,our time will come,0.0,0.0,our time will come,0.0,0.0
[10749],433677,en,Love on Ice,2.485,6.1,20,love on ice,2017-01-07,love on ice,0.0,0.0,love on ice,0.0,0.0
"[80, 18]",450308,en,Deuces,2.485,5.0,16,deuces,2017-04-01,deuces,0.0,0.0,deuces,0.0,0.0
[35],452531,en,That's Not Me,2.484,6.3,8,that's not me,2017-02-06,that's not me,0.0,0.0,that's not me,0.0,0.0
"[35, 27]",381032,en,Another Evil,2.484,5.6,19,another evil,2017-05-05,another evil,0.0,0.0,another evil,0.0,0.0
[35],456193,en,"Norm Macdonald: Hitler's Dog, Gossip & Trickery",2.481,7.4,29,"norm macdonald: hitler's dog, gossip & trickery",2017-05-09,"norm macdonald: hitler's dog, gossip & trickery",0.0,0.0,"norm macdonald: hitler's dog, gossip & trickery",0.0,0.0
"[10770, 10749]",474985,en,Finding Santa,2.477,6.0,22,finding santa,2017-11-24,finding santa,0.0,0.0,finding santa,0.0,0.0
[99],458080,en,Filmworker,2.47,7.1,22,filmworker,2018-05-11,filmworker,0.0,0.0,filmworker,0.0,0.0
"[18, 10749]",456553,en,The Joneses Unplugged,2.467,5.8,13,the joneses unplugged,2017-05-06,the joneses unplugged,0.0,0.0,the joneses unplugged,0.0,0.0
[18],408543,fr,Une vie,2.467,5.3,29,a woman's life,2017-05-05,a woman's life,0.0,0.0,A Woman's Life,0.0,0.0
[35],459224,en,Dating My Mother,2.466,4.0,3,dating my mother,2017-06-16,dating my mother,0.0,0.0,dating my mother,0.0,0.0
[99],491766,en,Perfect Bid: The Contestant Who Knew Too Much,2.464,6.5,25,perfect bid: the contestant who knew too much,2017-10-13,perfect bid: the contestant who knew too much,0.0,0.0,perfect bid: the contestant who knew too much,0.0,0.0
"[99, 36, 10402]",517208,en,Industrial Accident: The Story of Wax Trax! Records,2.458,9.0,1,industrial accident: the story of wax trax! records,2017-09-14,industrial accident: the story of wax trax! records,0.0,0.0,industrial accident: the story of wax trax! records,0.0,0.0
[99],446173,en,Ex Libris: New York Public Library,2.454,6.3,20,ex libris: new york public library,2017-09-13,ex libris: new york public library,0.0,0.0,ex libris: new york public library,0.0,0.0
[18],428886,en,England Is Mine,2.454,6.0,32,england is mine,2017-08-25,england is mine,0.0,0.0,england is mine,0.0,0.0
"[18, 10770, 10749]",491761,en,Rocky Mountain Christmas,2.446,6.2,11,rocky mountain christmas,2017-12-22,rocky mountain christmas,0.0,0.0,rocky mountain christmas,0.0,0.0
[27],290656,en,Raised by Wolves,2.446,3.6,5,raised by wolves,2017-03-28,raised by wolves,0.0,0.0,raised by wolves,0.0,0.0
"[12, 99]",446107,en,Charged: The Eduardo Garcia Story,2.442,6.7,3,charged: the eduardo garcia story,2017-11-07,charged: the eduardo garcia story,0.0,0.0,charged: the eduardo garcia story,0.0,0.0
"[10749, 18]",374471,en,Porto,2.44,6.1,13,porto,2017-03-12,porto,0.0,0.0,Porto,0.0,0.0
"[35, 10749, 10770]",492141,en,Snowed-Inn Christmas,2.435,7.0,29,snowed-inn christmas,2017-12-16,snowed-inn christmas,0.0,0.0,snowed-inn christmas,0.0,0.0
[27],445602,en,The Raking,2.435,5.5,10,the raking,2017-03-07,the raking,0.0,0.0,the raking,0.0,0.0
[53],449811,en,Hacker,2.432,8.3,3,hacker,2017-01-01,hacker,0.0,0.0,hacker,0.0,0.0
[18],382883,en,Shepherds and Butchers,2.428,6.8,32,shepherds and butchers,2017-01-31,shepherds and butchers,0.0,0.0,shepherds and butchers,0.0,0.0
"[27, 53]",412762,en,Happy Hunting,2.428,5.3,33,happy hunting,2017-09-22,happy hunting,0.0,0.0,happy hunting,0.0,0.0
[53],470006,en,The Student,2.418,6.1,9,the student,2017-03-20,the student,0.0,0.0,the student,0.0,0.0
"[53, 10770]",435268,en,Open Marriage,2.41,3.9,7,open marriage,2017-01-14,open marriage,0.0,0.0,open marriage,0.0,0.0
[99],459954,en,Agnelli,2.406,7.5,12,agnelli,2017-12-18,agnelli,0.0,0.0,agnelli,0.0,0.0
"[10749, 10770]",478210,en,All of My Heart: Inn Love,2.405,6.0,13,all of my heart: inn love,2017-10-07,all of my heart: inn love,0.0,0.0,all of my heart: inn love,0.0,0.0
"[10770, 10749]",480614,en,A Gift to Remember,2.405,5.5,25,a gift to remember,2017-11-19,a gift to remember,0.0,0.0,a gift to remember,0.0,0.0
"[28, 18]",518351,en,Bar Wrestling 4: Autumn In LA,2.403,4.0,1,bar wrestling 4: autumn in la,2017-07-09,bar wrestling 4: autumn in la,0.0,0.0,bar wrestling 4: autumn in la,0.0,0.0
[35],470616,en,Lynne Koplitz: Hormonal Beast,2.398,6.8,4,lynne koplitz: hormonal beast,2017-08-22,lynne koplitz: hormonal beast,0.0,0.0,lynne koplitz: hormonal beast,0.0,0.0
"[18, 28]",471054,en,High-Rise Rescue,2.392,4.6,9,high-rise rescue,2017-08-13,high-rise rescue,0.0,0.0,high-rise rescue,0.0,0.0
"[14, 16, 12]",268689,es,Wicked Flying Monkeys,2.391,5.8,9,wicked flying monkeys,2017-01-24,wicked flying monkeys,0.0,0.0,wicked flying monkeys,0.0,0.0
[878],425827,en,The Last Scout,2.389,4.0,19,the last scout,2017-07-17,the last scout,0.0,0.0,the last scout,0.0,0.0
[18],426247,en,The Light of the Moon,2.383,6.9,19,the light of the moon,2017-03-12,the light of the moon,0.0,0.0,the light of the moon,0.0,0.0
"[12, 10402, 9648, 53]",328483,en,London Road,2.38,6.5,15,london road,2017-02-28,london road,0.0,0.0,london road,0.0,0.0
"[10751, 14, 12, 18]",316785,en,Don Quixote: The Ingenious Gentleman of La Mancha,2.38,6.0,9,don quixote: the ingenious gentleman of la mancha,2015-01-07,don quixote: the ingenious gentleman of la mancha,0.0,0.0,don quixote: the ingenious gentleman of la mancha,0.0,0.0
[27],454546,en,American Exorcism,2.376,4.4,7,american exorcism,2017-05-02,american exorcism,0.0,0.0,american exorcism,0.0,0.0
[],445267,en,Legend of the Naked Ghost,2.376,4.3,4,legend of the naked ghost,2017-01-19,legend of the naked ghost,0.0,0.0,legend of the naked ghost,0.0,0.0
"[18, 35]",459427,en,Car Dogs,2.356,4.6,7,car dogs,2017-03-24,car dogs,0.0,0.0,car dogs,0.0,0.0
[35],486331,en,DeRay Davis: How to Act Black,2.354,6.1,9,deray davis: how to act black,2017-11-14,deray davis: how to act black,0.0,0.0,deray davis: how to act black,0.0,0.0
[53],441751,hi,इरादा,2.351,6.6,9,irada,2017-02-17,irada,0.0,0.0,irada,0.0,0.0
[99],443946,en,Edith+Eddie,2.348,7.7,9,edith+eddie,2017-03-02,edith+eddie,0.0,0.0,edith+eddie,0.0,0.0
"[18, 36]",412204,fr,Marie Curie,2.344,4.9,31,marie curie,2017-06-30,marie curie,0.0,0.0,marie curie,0.0,0.0
[27],464879,en,Cabin 28,2.344,4.3,15,cabin 28,2017-08-01,cabin 28,0.0,0.0,cabin 28,0.0,0.0
"[10749, 35, 18]",461957,en,Catching Feelings,2.341,5.7,6,catching feelings,2017-06-18,catching feelings,0.0,0.0,catching feelings,0.0,0.0
"[878, 18, 28]",475961,en,Curvature,2.335,4.8,19,curvature,2017-11-15,curvature,0.0,0.0,curvature,0.0,0.0
"[16, 10749]",468041,en,Extinguished,2.334,7.6,15,extinguished,2017-04-19,extinguished,0.0,0.0,extinguished,0.0,0.0
"[28, 27, 35]",423383,en,Mercy Christmas,2.332,5.0,8,mercy christmas,2017-11-28,mercy christmas,0.0,0.0,mercy christmas,0.0,0.0
"[10749, 10770]",445126,en,Can't Buy My Love,2.324,6.5,26,can't buy my love,2017-03-04,can't buy my love,0.0,0.0,can't buy my love,0.0,0.0
"[18, 53]",523792,en,Retina,2.32,6.3,3,retina,2017-12-31,retina,0.0,0.0,retina,0.0,0.0
"[35, 14, 9648, 878, 53]",426580,en,Bad Kids of Crestview Academy,2.318,5.2,25,bad kids of crestview academy,2017-01-13,bad kids of crestview academy,0.0,0.0,bad kids of crestview academy,0.0,0.0
[35],488969,en,Miss Me This Christmas,2.318,5.0,16,miss me this christmas,2017-11-01,miss me this christmas,0.0,0.0,miss me this christmas,0.0,0.0
"[53, 80, 18]",488379,en,Avenge the Crows: The Legend of Loca,2.316,8.3,3,avenge the crows: the legend of loca,2017-12-05,avenge the crows: the legend of loca,0.0,0.0,avenge the crows: the legend of loca,0.0,0.0
